price,address,coordinates_lat,coordinates_lng,main_location,link,social_stratum,state,bathrooms,constructed_area,private_area,age,rooms,parking_spaces,administration,floor_number,in_polygon,finca_raiz_id
260000000,NO APLICA,3.4714644,-76.4982375,"Los andes, Cali, Valle del cauca",https://www.fincaraiz.com.co/apartamento-en-venta/10517399,3,No reporta,2,70.0,70.0,16 a 30 años,3,1,250000.0,3.0,0,10517399
385000000,CL 20 # 101 A - 120,3.36416854313634,-76.5261489131836,"Ciudad jardin, Cali, Valle del cauca",https://www.fincaraiz.com.co/apartamento-en-venta/10871509,6,No reporta,2,81.0,81.0,9 a 15 años,3,1,320000.0,5.0,0,10871509
290000000,Carrera 8 # 59 - 11,4.6447199977211,-74.062030005298,"Chapinero central, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191412109,3,No reporta,1,39.0,39.0,1 a 8 años,1,1,221000.0,5.0,0,191412109
530000000,CARRERA 52 #123B -50 APARTAMENTO 401,4.705944,-74.062317,"Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191570997,5,No reporta,3,113.0,113.0,16 a 30 años,3,2,602500.0,No reporta,0,191570997
510000000,CALLE 77 SUR   34- 30,6.1475501,-75.6248763,"Loma de San Jose, Sabaneta, Antioquia",https://www.fincaraiz.com.co/apartamento-en-venta/191335956,4,No reporta,2,66.0,66.0,menor a 1 año,3,1,303000.0,No reporta,0,191335956
1150000000,AVENIDA CALLE 24 #47A-35,4.6359854714726,-74.097154843773,"Teusaquillo, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191610740,5,No reporta,3,98.0,95.0,1 a 8 años,3,2,735000.0,6.0,0,191610740
2500000000,KR 7 85 27,4.665316,-74.046782,"Los rosales, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/11026382,6,No reporta,5,186.0,186.0,1 a 8 años,3,2,No reporta,3.0,0,11026382
385000000,CRA 44 # 65-66 TA APTO 503,7.105034,-73.106862,"La floresta, Bucaramanga, Santander",https://www.fincaraiz.com.co/apartamento-en-venta/191403308,5,No reporta,3,126.0,126.0,No reporta,3,1,408400.0,5.0,0,191403308
230000000,Carrera 8,4.7492882,-74.0273488,"El redil, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/11022759,4,No reporta,1,36.0,36.0,menor a 1 año,1,1,150000.0,No reporta,0,11022759
950000000,"Calle 19 #42-90, El Poblado, Medellín, Antioquia, Colombia",6.221083,-75.5689143,"El Poblado, Medellín, Antioquia",https://www.fincaraiz.com.co/apartamento-en-venta/191464261,6,No reporta,3,86.0,86.0,1 a 8 años,3,1,No reporta,No reporta,0,191464261
250000000,Calle 170 8-60 departamento torre,4.747239,-74.0242953,"El redil, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10364130,4,No reporta,1,35.0,35.0,9 a 15 años,1,1,150000.0,15.0,0,10364130
320000000,"Carrera 30 #34-39, Mejoras Públicas, Bucaramanga, Santander, Colombia",7.1240378,-73.1143837,"Mejoras publicas, Bucaramanga, Santander",https://www.fincaraiz.com.co/apartamento-en-venta/191117652,4,No reporta,2,65.0,63.0,1 a 8 años,2,1,354000.0,5.0,0,191117652
330000000,CARRERA 61   33- 65,6.169487,-75.6281441,"Ditaires, Itaguí, Antioquia",https://www.fincaraiz.com.co/apartamento-en-venta/191424061,4,No reporta,2,65.0,65.0,1 a 8 años,3,1,220000.0,No reporta,0,191424061
150000000,Avenida 1 #13 -87,7.8828044795549,-72.499484595719,"La playa, Cúcuta, Norte de santander",https://www.fincaraiz.com.co/apartamento-en-venta/11046190,3,No reporta,1,50.0,50.0,más de 30 años,2,1,115000.0,No reporta,0,11046190
160000000,Calle 22j,4.6870158,-74.1467819,"Fontibon, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191510183,3,No reporta,1,48.0,48.0,No reporta,3,1,146000.0,No reporta,0,191510183
137500000,Calle 87 Sur # 91-85,4.6225594,-74.2121422,"Bosa, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191620289,1,No reporta,1,48.0,48.0,1 a 8 años,3,1,78000.0,6.0,0,191620289
1650000000,"Cra, 18 A # 103 35, Bogotá",4.6891471,-74.0508315,"Santa bibiana, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191587307,6,No reporta,6,165.0,152.0,16 a 30 años,4,2,1671280.0,6.0,0,191587307
560000000,Calle 95 #11 A -24,4.679189987797,-74.046389960705,"Chicó Reservado, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/10798309,6,No reporta,1,49.0,49.0,menor a 1 año,1,1,400000.0,2.0,0,10798309
165000000,CARRERA 63A   77- 20,6.3544849,-75.5673794,"Villas del sol, Bello, Antioquia",https://www.fincaraiz.com.co/apartamento-en-venta/191423480,3,No reporta,1,41.0,41.0,1 a 8 años,2,1,97000.0,No reporta,0,191423480
510000000,CALLE 19   5- 30,4.6051788,-74.0700857,"Las nieves, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191297951,3,No reporta,2,61.0,61.0,1 a 8 años,2,1,200000.0,No reporta,0,191297951
1900000000,DIAGONAL 76   1A- 52,4.6561092,-74.0498616,"Chapinero, Bogotá, Bogotá, d.c.",https://www.fincaraiz.com.co/apartamento-en-venta/191304871,6,No reporta,4,322.0,322.0,16 a 30 años,3,3,770000.0,No reporta,0,191304871
